Date,ERCOT: Real Time LMP - AMISTAD_ALL (Amistad Hydro 1)(48270),ERCOT: Day Ahead SPP - AMISTAD_ALL (Amistad Hydro 1)(48799),ERCOT: Real Time LMP - NUE_NUECESG7 (Nueces Bay 7)(48488),ERCOT: Day Ahead SPP - NUE_NUECESG7 (Nueces Bay 7)(49017),ERCOT: Real Time LMP - FPPYD_FPP_G1 (Fayette Power Project 1)(47838),ERCOT: Day Ahead SPP - FPPYD_FPP_G1 (Fayette Power Project 1)(47875)
7/1/2023 0:00,24.24,28.57,22.25,22.64,22.98,23.7
7/1/2023 1:00,20.8,23.1,20.8,20.32,20.8,20.43
7/1/2023 2:00,22.08,20.37,22.08,18.38,22.08,18.24
7/1/2023 3:00,20.97,19.11,20.97,17.38,20.97,17.06
7/1/2023 4:00,19.51,17.98,19.51,16.45,19.51,16.14
7/1/2023 5:00,18.14,17.42,18.14,16.16,18.14,15.81
7/1/2023 6:00,17.09,18.29,17.09,18.15,17.09,17.3
7/1/2023 7:00,18.71,18.02,18.71,17.97,18.71,17.28
7/1/2023 8:00,18.94,18.3,19.04,19.63,18.7,18.27
7/1/2023 9:00,18.39,18.26,22.79,20.94,19.58,18.65
7/1/2023 10:00,19.75,21.37,21.96,23.96,20.24,21.79
7/1/2023 11:00,22.69,27.25,20.68,29.11,21.9,27.6
7/1/2023 12:00,19.86,34.67,19.11,34.59,19.83,34.73
7/1/2023 13:00,21.84,41.37,21.92,40.08,22.48,41.45
7/1/2023 14:00,23.98,63.32,24.6,53.67,24.62,63.69
7/1/2023 15:00,25.06,99.89,26.13,73.21,26.74,100.69
7/1/2023 16:00,22.86,148.37,23.73,113.18,24.89,149.12
7/1/2023 17:00,23.72,145.78,17.35,100.97,23.42,146.67
7/1/2023 18:00,25.05,114.83,2.56,57.95,23.98,115.48
7/1/2023 19:00,73.6,121.78,5.5,44.68,26.35,111.76
7/1/2023 20:00,35.27,120.59,15.87,55.4,25.75,103.97
7/1/2023 21:00,27.52,66.62,23.29,38.52,25.71,50.94
7/1/2023 22:00,24.76,45.13,22.58,31.28,24.45,36.06
7/1/2023 23:00,24.12,39.99,22.56,29.41,23.59,32.3
7/2/2023 0:00,23.01,35.82,23.01,28.1,23.01,30.66
7/2/2023 1:00,22.37,34.94,22.37,26.29,22.37,27.86
7/2/2023 2:00,20.3,32.34,20.3,24.35,20.3,25.52
7/2/2023 3:00,19.97,31.61,19.97,23.53,19.97,24.1
7/2/2023 4:00,19.54,32.42,19.54,22.22,19.54,22.55
7/2/2023 5:00,21.74,32.94,21.74,22.23,21.74,22.25
7/2/2023 6:00,20.86,24.39,20.86,18.22,20.86,17.98
7/2/2023 7:00,20.39,20.6,20.39,18.27,20.39,18.15
7/2/2023 8:00,19.22,18.37,19.22,18.01,19.22,17.98
7/2/2023 9:00,20.12,19.01,20.12,19.02,20.12,19.01
7/2/2023 10:00,23.55,23.18,23.55,23.19,23.55,23.18
7/2/2023 11:00,25.34,28.98,25.34,29,25.34,28.99
7/2/2023 12:00,27.54,35.17,27.54,35.22,27.54,35.17
7/2/2023 13:00,29.62,64.03,29.62,63.76,29.62,64.05
7/2/2023 14:00,42.47,150.23,42.47,141.49,42.47,149.76
7/2/2023 15:00,30.57,237,30.57,220.61,30.57,236.26
7/2/2023 16:00,55.69,287.16,55.69,246.06,55.69,286.61
7/2/2023 17:00,29.66,262.08,29.66,216.28,29.66,261.21
7/2/2023 18:00,27.01,162.53,27.01,129.01,27.01,161.31
7/2/2023 19:00,29.6,156.97,26.78,116.21,28.33,153.37
7/2/2023 20:00,72.23,142.77,63.88,97.01,68.35,130.62
7/2/2023 21:00,41.85,71.72,31.99,56.79,37.38,60.89
7/2/2023 22:00,34.12,47.6,19.71,34.33,27.66,37.26
7/2/2023 23:00,26.38,38.89,25.53,29.2,25.95,31.23
7/3/2023 0:00,23.85,28.66,23.82,24.73,23.72,25.21
7/3/2023 1:00,23.35,25.27,23.35,22.38,23.35,22.55
7/3/2023 2:00,23.85,23.56,23.85,21.04,23.85,21.14
7/3/2023 3:00,24.22,22.6,24.22,20.61,24.22,20.52
7/3/2023 4:00,24.78,22.94,24.78,20.83,24.78,20.7
7/3/2023 5:00,25.44,24.64,25.44,22.52,25.44,22.38
7/3/2023 6:00,25.18,22.78,25.18,21.13,25.18,21.04
7/3/2023 7:00,23.2,22.33,23.2,21.21,23.2,21.15
7/3/2023 8:00,22.42,20.51,22.42,20.39,22.42,20.36
7/3/2023 9:00,23.77,21.68,23.77,22.18,23.77,22.03
7/3/2023 10:00,28.47,27.23,28.47,28.48,28.47,27.97
7/3/2023 11:00,37.43,32.99,37.43,34.53,37.43,33.76
7/3/2023 12:00,44.97,48.48,44.97,49.56,44.97,49.37
7/3/2023 13:00,73.36,99.82,73.36,99.11,73.36,99.98
7/3/2023 14:00,78.28,151.42,78,128.32,78.28,151.5
7/3/2023 15:00,87,247.74,75.34,215.88,86.95,246.8
7/3/2023 16:00,241.48,260.73,86.61,221.84,240.73,259.99
